Rank,Title,Author,Rating,Rating Count,Score,People Voted,Image
56,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood (Goodreads Author),4.14,2202878,596936,6490,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg
57,Where the Wild Things Are,Maurice Sendak,4.25,1030912,566780,6172,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg
58,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4511160,565415,6159,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5._SY75_.jpg
59,The Lovely Bones,Alice Sebold,3.86,2414229,564445,6085,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg
60,Green Eggs and Ham,Dr. Seuss,4.31,811417,563649,6187,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772._SX50_.jpg
61,The Adventures of Huckleberry Finn,Mark Twain,3.83,1297419,561165,6182,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg
62,"Dune (Dune, #1)",Frank Herbert,4.28,1507850,551559,5923,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg
63,Life of Pi,Yann Martel,3.94,1691089,547081,5915,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214._SY75_.jpg
64,A Tale of Two Cities,Charles Dickens,3.87,980918,538609,5906,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953._SY75_.jpg
65,Lolita,Vladimir Nabokov,3.88,892963,536197,5766,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg
66,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,1418649,520442,5614,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg
67,Water for Elephants,Sara Gruen (Goodreads Author),4.11,1660856,502364,5415,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641._SY75_.jpg
68,The Bell Jar,Sylvia Plath,4.06,1080865,490699,5322,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514._SY75_.jpg
69,Matilda,Roald Dahl,4.33,1026209,480677,5307,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988._SY75_.jpg
70,The Stand,Stephen King (Goodreads Author),4.35,795508,455630,4914,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267._SX50_.jpg
71,Catch-22,Joseph Heller,3.99,856925,445411,4859,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg
72,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,3314344,439231,4868,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg
73,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30,314043,435799,4870,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590._SY75_.jpg
74,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett (Goodreads Author),4.34,792930,428814,4616,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043._SY75_.jpg
75,Rebecca,Daphne du Maurier,4.25,671566,423329,4706,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948._SX50_.jpg
76,"Watership Down (Watership Down, #1)",Richard Adams,4.09,492504,416637,4553,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620._SY75_.jpg
77,Great Expectations,Charles Dickens,3.80,839017,406076,4655,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623._SY75_.jpg
78,"Outlander (Outlander, #1)",Diana Gabaldon (Goodreads Author),4.26,1109452,399782,4284,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964._SY75_.jpg
79,The Color Purple,Alice Walker,4.27,719310,399579,4502,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857._SY75_.jpg
80,Anna Karenina,Leo Tolstoy,4.10,883940,386339,4229,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480._SX50_.jpg
81,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20,754898,385708,4364,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613._SX50_.jpg
82,My Sister’s Keeper,Jodi Picoult (Goodreads Author),4.10,1250119,372724,4100,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917._SY75_.jpg
83,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40,2951397,370589,4087,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351._SY75_.jpg
